teremnev,epulet,emelet,x,y,utvonal
MI1,M,0,538,145,(M/0:MF0/0/MI1/0)
MI2,M,0,724,145,(M/0:MF0/0/MI2/0)
MI3,M,0,176,398,(M/0:MF0/0/MI3/0)
MI4,M,0,361,398,(M/0:MF0/0/MI4/0)
MI5,M,0,538,398,(M/0:MF0/0/MI5/0)
MI6,M,0,724,398,(M/0:MF0/0/MI6/0)
KF51,K,F,705,227,(K/F:KFF0/0/KFF0/1/KF51/1)
KF76,K,F,285,457,(K/F:KFA/0/KFF1/0/KFF1/90)
