teremnev,id,x,y
MF0,0,819,251
MI1,0,537,217
MI2,0,786,209
MI3,0,219,289
MI4,0,396,289
MI5,0,537,289
MI6,0,668,289
KFF50,0,2481,880
KFF50,1,2481,1087
KF51,0,2481,1254
KFK,0,2487,2819
KFF1,0,2481,2540
KFF1,1,2147,2538
KFF1,2,2746,2542
KFF1,3,2741,2238
KFL,0,2857,2239
KFF90,0,1043,2505
KML,0,2863,2168
KMF1,0,2743,2168
KMF1,1,2740,2240
KML,1,2861,2240
K1L,0,2863,2168
K1F1,0,2743,2168
K1F1,1,2747,1944
K134,0,3568,1970
